# Label,X/East,Y/North,Z/Altitude,X est,Y est,Z est
Marker_Point_1,0.000000,0.000000,1.520000,-0.038982,-0.006429,1.509896
Marker_Point_2,0.000000,1.000000,1.219200,0.022366,0.984063,1.230900
Marker_Point_3,1.000000,0.000000,1.828800,1.016616,0.022366,1.827203
Model_corner_1,,,,0.483375,-0.996308,2.613629
Model_corner_2,,,,-1.318384,0.334312,0.865935
Model_corner_3,,,,2.702905,1.141913,1.981642
Model_corner_4,,,,0.900529,2.477008,0.225708
point 1,,,,0.886130,-0.001176,1.786590
point 10,,,,0.717185,0.354058,1.594638
point 100,,,,0.830364,0.858331,1.209244
point 101,,,,0.691040,0.876777,1.136188
point 102,,,,0.686513,0.878665,1.123877
point 103,,,,0.701476,0.881688,1.163901
point 104,,,,0.707965,0.884355,1.156464
point 105,,,,0.720882,0.896240,1.172424
point 106,,,,0.682009,0.906735,1.246180
point 107,,,,0.718714,0.890545,1.184678
point 108,,,,0.734420,0.884247,1.180484
point 109,,,,0.648946,0.849235,1.205448
point 11,,,,0.786103,0.520062,1.494808
point 110,,,,0.540749,0.863161,1.128074
point 111,,,,0.595078,0.836610,1.188493
point 112,,,,0.607855,0.842906,1.186653
point 113,,,,0.594120,0.856890,1.183946
point 114,,,,0.627858,0.856866,1.153612
point 115,,,,0.623365,0.871829,1.156224
point 116,,,,0.588114,0.864780,1.173771
point 117,,,,0.606066,0.875105,1.162370
point 118,,,,0.610210,0.886708,1.150121
point 119,,,,0.619297,0.885984,1.119774
point 12,,,,0.767324,0.550087,1.481698
point 120,,,,0.615362,0.889253,1.130281
point 121,,,,0.598101,0.891055,1.118690
point 122,,,,0.584662,0.889897,1.135442
point 123,,,,0.567028,0.886310,1.106848
point 124,,,,0.574491,0.889194,1.081861
point 125,,,,0.553644,0.885111,1.097179
point 126,,,,0.560448,0.889727,1.080523
point 127,,,,0.559263,0.893097,1.073203
point 128,,,,0.530260,0.893630,1.088570
point 129,,,,0.536502,0.898102,1.071468
point 13,,,,0.743910,0.528555,1.495987
point 130,,,,0.549452,0.890818,1.085044
point 131,,,,0.834967,0.735629,1.327398
point 132,,,,0.511405,0.705320,1.362153
point 133,,,,0.495913,0.786959,1.329320
point 134,,,,0.519276,0.742190,1.342266
point 135,,,,0.507801,0.760782,1.344473
point 136,,,,0.589548,0.767519,1.346880
point 137,,,,0.562818,0.779425,1.369005
point 138,,,,0.564241,0.794935,1.355267
point 139,,,,0.529152,0.780225,1.348740
point 14,,,,0.818168,0.574787,1.400172
point 140,,,,0.563443,0.796811,1.301072
point 141,,,,0.516116,0.783007,1.335176
point 142,,,,0.523866,0.802666,1.320779
point 143,,,,0.542710,0.804008,1.325611
point 144,,,,0.518993,0.787309,1.326052
point 145,,,,0.703167,0.449650,1.577369
point 146,,,,0.729940,0.461693,1.567678
point 147,,,,0.721122,0.448851,1.572214
point 148,,,,0.698356,0.432419,1.581172
point 149,,,,0.646538,0.482586,1.642052
point 15,,,,0.835791,0.612578,1.371836
point 150,,,,0.674930,0.459681,1.619725
point 151,,,,0.665180,0.446122,1.623935
point 152,,,,0.676293,0.586751,1.558971
point 153,,,,0.579185,0.516288,1.653210
point 154,,,,0.603292,0.525113,1.664794
point 155,,,,0.606842,0.496853,1.662806
point 156,,,,0.615267,0.516031,1.665419
point 157,,,,0.634423,0.527196,1.664245
point 158,,,,0.623575,0.510335,1.664706
point 159,,,,0.622249,0.559826,1.655901
point 16,,,,0.824880,0.592542,1.381078
point 160,,,,0.619236,0.565849,1.640061
point 161,,,,0.596252,0.567157,1.632129
point 162,,,,0.577195,0.565102,1.636631
point 163,,,,1.075333,0.640840,1.129504
point 164,,,,1.091756,0.650239,1.135744
point 165,,,,1.104907,0.632295,1.135412
point 166,,,,1.107743,0.645351,1.131637
point 167,,,,1.101935,0.661912,1.120081
point 168,,,,1.115918,0.664906,1.118592
point 169,,,,1.108702,0.680811,1.114918
point 17,,,,0.844537,0.626157,1.352903
point 170,,,,1.112851,0.695043,1.121126
point 171,,,,1.132498,0.704405,1.126317
point 172,,,,1.011996,0.998497,1.282007
point 173,,,,0.996722,0.972745,1.300081
point 174,,,,1.021669,0.981117,1.270127
point 175,,,,1.008474,1.039885,1.256017
point 176,,,,0.995750,1.045393,1.262935
point 177,,,,0.982549,1.034054,1.282206
point 178,,,,0.919795,1.048780,1.239873
point 179,,,,1.121348,0.723694,1.117062
point 18,,,,0.854547,0.620936,1.343345
point 180,,,,1.200456,0.612431,1.164385
point 181,,,,1.091546,0.717556,1.123796
point 182,,,,1.093784,0.730460,1.108006
point 183,,,,1.101262,0.724532,1.114886
point 184,,,,1.106356,0.734384,1.103204
point 185,,,,0.977185,0.660563,1.209658
point 186,,,,0.997303,0.671985,1.195692
point 187,,,,0.969584,0.686637,1.166003
point 188,,,,0.966091,0.681953,1.189641
point 189,,,,0.651107,0.986272,1.136057
point 19,,,,0.849986,0.604001,1.354321
point 190,,,,0.698767,0.957911,1.095531
point 191,,,,0.743670,0.924662,1.086172
point 192,,,,0.746708,0.964928,1.065046
point 2,,,,0.686498,0.175504,1.709570
point 20,,,,0.870090,0.579948,1.348949
point 21,,,,0.911416,0.614257,1.278328
point 22,,,,0.712071,0.648422,1.532106
point 23,,,,0.683226,0.634756,1.558997
point 24,,,,0.677155,0.666444,1.546720
point 25,,,,0.665953,0.702222,1.510131
point 26,,,,0.656378,0.705215,1.475728
point 27,,,,0.663277,0.715969,1.456634
point 28,,,,0.613872,0.702340,1.432756
point 29,,,,0.608439,0.676716,1.472984
point 3,,,,0.718449,0.211117,1.702574
point 30,,,,0.583209,0.674754,1.474160
point 31,,,,0.559906,0.680554,1.445084
point 32,,,,0.580455,0.680872,1.437169
point 33,,,,0.583588,0.646427,1.522798
point 34,,,,0.620926,0.586654,1.573383
point 35,,,,0.615162,0.578709,1.590159
point 36,,,,0.601534,0.586732,1.568053
point 37,,,,0.587456,0.584744,1.556001
point 38,,,,0.494960,0.587488,1.499001
point 39,,,,0.577199,0.557653,1.560076
point 4,,,,0.701031,0.253954,1.690122
point 40,,,,0.554005,0.573915,1.529698
point 41,,,,0.380406,0.533181,1.478819
point 42,,,,0.491836,0.501042,1.464252
point 43,,,,0.495820,0.510135,1.466720
point 44,,,,0.508598,0.536851,1.495720
point 45,,,,0.535893,0.504812,1.506533
point 46,,,,0.523886,0.474699,1.480283
point 47,,,,0.457947,0.447480,1.465738
point 48,,,,0.456778,0.437238,1.462432
point 49,,,,0.476162,0.463256,1.460934
point 5,,,,0.707088,0.261562,1.685842
point 50,,,,0.470684,0.465634,1.454165
point 51,,,,0.488848,0.471743,1.470087
point 52,,,,0.457210,0.431222,1.476908
point 53,,,,0.472501,0.403674,1.503655
point 54,,,,0.469772,0.389391,1.511914
point 55,,,,0.541494,0.353563,1.502706
point 56,,,,0.536579,0.361124,1.499397
point 57,,,,0.534983,0.371108,1.496946
point 58,,,,0.532185,0.358356,1.494079
point 59,,,,0.542077,0.393650,1.494503
point 6,,,,0.713303,0.267562,1.677707
point 60,,,,0.519026,0.410580,1.505286
point 61,,,,0.513441,0.417844,1.506482
point 62,,,,0.498673,0.415379,1.502063
point 63,,,,0.499449,0.428530,1.503748
point 64,,,,0.495052,0.443612,1.503508
point 65,,,,0.508526,0.446960,1.506951
point 66,,,,0.505955,0.434932,1.509345
point 67,,,,0.499615,0.311411,1.453658
point 68,,,,0.485976,0.296612,1.446260
point 69,,,,0.488010,0.286896,1.450751
point 7,,,,0.733485,0.281374,1.670089
point 70,,,,0.532155,0.272414,1.461153
point 71,,,,0.512961,0.255570,1.441384
point 72,,,,0.535360,0.250926,1.456814
point 73,,,,0.568438,0.235949,1.467375
point 74,,,,0.549124,0.203215,1.432365
point 75,,,,0.531095,0.209999,1.417943
point 76,,,,0.540977,0.264167,1.464276
point 77,,,,0.417449,0.283102,1.450123
point 78,,,,0.431009,0.272974,1.449972
point 79,,,,0.447269,0.287452,1.448445
point 8,,,,0.738093,0.304759,1.650787
point 80,,,,0.434135,0.288627,1.453115
point 81,,,,0.423310,0.294706,1.449914
point 82,,,,0.444958,0.347303,1.452636
point 83,,,,0.458473,0.362615,1.451367
point 84,,,,0.411063,0.377318,1.447467
point 85,,,,0.381051,0.394987,1.446878
point 86,,,,0.365879,0.432102,1.464764
point 87,,,,0.349069,0.444102,1.457819
point 88,,,,0.611278,0.321460,1.683423
point 89,,,,0.568157,0.305363,1.512195
point 9,,,,0.716596,0.330587,1.631503
point 90,,,,0.574847,0.282202,1.501306
point 91,,,,0.566709,0.300600,1.487225
point 92,,,,0.523182,0.523380,1.633409
point 93,,,,1.183771,0.717270,1.170701
point 94,,,,1.190548,0.653679,1.169277
point 95,,,,1.165476,0.621421,1.155370
point 96,,,,1.155020,0.637093,1.150614
point 97,,,,1.144748,0.616185,1.143962
point 98,,,,0.863704,0.867194,1.254422
point 99,,,,0.850924,0.867811,1.207966
IMGP5659.JPG,,,,-0.731764,0.398556,3.397495
IMGP5660.JPG,,,,-0.758342,0.408410,3.390487
IMGP5661.JPG,,,,-0.792646,0.526095,3.241231
IMGP5662.JPG,,,,-0.786897,0.627914,3.173410
IMGP5663.JPG,,,,-0.787442,0.742327,3.118914
IMGP5664.JPG,,,,-0.759026,0.808388,3.049449
IMGP5665.JPG,,,,-0.734932,0.992011,2.966469
IMGP5666.JPG,,,,-0.737260,1.134182,2.889966
IMGP5667.JPG,,,,-0.693636,1.205090,2.809012
IMGP5668.JPG,,,,-0.664780,1.359886,2.680637
IMGP5669.JPG,,,,-0.677345,1.495313,2.585898
IMGP5670.JPG,,,,-0.671622,1.557321,2.472008
IMGP5671.JPG,,,,-0.612285,1.622226,2.363164
IMGP5672.JPG,,,,-0.531428,1.708020,2.322275
IMGP5673.JPG,,,,-0.484811,1.737867,2.286566
IMGP5674.JPG,,,,-0.377059,1.796108,2.276629
IMGP5675.JPG,,,,-0.265812,1.876740,2.294613
IMGP5676.JPG,,,,-0.198569,1.911874,2.352894
IMGP5677.JPG,,,,-0.043051,1.951688,2.433244
IMGP5678.JPG,,,,0.067276,1.932648,2.529396
IMGP5679.JPG,,,,0.104416,1.849316,2.627337
IMGP5680.JPG,,,,0.142585,1.681109,2.769529
IMGP5681.JPG,,,,0.201795,1.511463,2.911373
IMGP5682.JPG,,,,0.219307,1.338542,3.058697
IMGP5683.JPG,,,,0.175659,1.171864,3.212529
IMGP5684.JPG,,,,0.116582,0.999007,3.334828
IMGP5685.JPG,,,,-0.148087,0.354087,3.934186
IMGP5686.JPG,,,,-0.080582,0.334533,3.966119
IMGP5687.JPG,,,,0.070056,0.297835,3.996368
IMGP5688.JPG,,,,0.214907,0.342624,3.999487
IMGP5689.JPG,,,,0.346069,0.483306,4.011088
IMGP5690.JPG,,,,0.479251,0.571136,4.025884
IMGP5691.JPG,,,,0.598908,0.685684,4.016266
IMGP5692.JPG,,,,0.747290,0.929655,3.952572
IMGP5693.JPG,,,,0.823030,1.075778,3.895765
IMGP5694.JPG,,,,0.886025,1.202927,3.838149
IMGP5695.JPG,,,,0.945084,1.442877,3.681122
IMGP5696.JPG,,,,0.979842,1.623509,3.599229
IMGP5697.JPG,,,,0.990910,1.763481,3.510619
IMGP5698.JPG,,,,0.943869,1.949162,3.294383
IMGP5699.JPG,,,,0.818381,2.111626,3.156421
IMGP5700.JPG,,,,0.799903,2.224212,3.035793
IMGP5701.JPG,,,,0.689416,2.372846,2.793747
IMGP5702.JPG,,,,0.550889,2.458429,2.648035
IMGP5703.JPG,,,,0.455513,2.495111,2.523265
IMGP5704.JPG,,,,0.222250,2.520706,2.310927
IMGP5705.JPG,,,,-0.007428,2.515820,2.186985
IMGP5706.JPG,,,,-0.143769,2.456846,2.106835
IMGP5707.JPG,,,,-0.312460,2.313589,2.017314
IMGP5708.JPG,,,,-0.487298,2.154392,1.988437
IMGP5709.JPG,,,,-0.593163,2.028397,1.977857
IMGP5710.JPG,,,,-0.804573,1.790435,1.956339
IMGP5711.JPG,,,,-0.941992,1.587891,1.976806
IMGP5712.JPG,,,,-1.032352,1.438534,2.021420
IMGP5713.JPG,,,,-1.106454,1.194146,2.098031
IMGP5714.JPG,,,,-1.161780,0.934339,2.203855
IMGP5715.JPG,,,,-1.216124,0.767795,2.310558
IMGP5716.JPG,,,,-1.246687,0.616129,2.438537
IMGP5717.JPG,,,,-0.284419,0.347461,2.561290
IMGP5718.JPG,,,,-0.241965,0.321584,2.489545
IMGP5719.JPG,,,,-0.177811,0.296023,2.369621
IMGP5720.JPG,,,,-0.120425,0.316931,2.275257
IMGP5721.JPG,,,,-0.025471,0.407058,2.153148
IMGP5722.JPG,,,,0.017449,0.549064,2.084405
IMGP5723.JPG,,,,0.028708,0.679386,2.086273
IMGP5724.JPG,,,,0.086214,0.816696,2.020409
IMGP5725.JPG,,,,0.140599,0.948335,1.918227
IMGP5726.JPG,,,,0.138551,1.029864,1.873488
IMGP5727.JPG,,,,0.170368,1.146529,1.829458
IMGP5728.JPG,,,,0.241847,1.264967,1.788665
IMGP5729.JPG,,,,0.252833,1.367068,1.711261
IMGP5730.JPG,,,,0.336884,1.498618,1.601491
IMGP5731.JPG,,,,0.436584,1.592368,1.516990
IMGP5732.JPG,,,,0.554649,1.651111,1.467921
IMGP5733.JPG,,,,0.708097,1.641591,1.463365
IMGP5734.JPG,,,,0.863006,1.588549,1.515594
IMGP5735.JPG,,,,0.978786,1.546522,1.579551
IMGP5736.JPG,,,,1.169811,1.453072,1.636206
IMGP5737.JPG,,,,1.279954,1.341185,1.708292
IMGP5738.JPG,,,,1.273033,1.219271,1.834523
IMGP5739.JPG,,,,1.234062,1.077004,1.952991
IMGP5740.JPG,,,,1.195279,0.963985,2.037881
IMGP5741.JPG,,,,1.176849,0.833510,2.125034
IMGP5742.JPG,,,,1.165790,0.714396,2.232984
IMGP5743.JPG,,,,1.122253,0.578021,2.333251
IMGP5744.JPG,,,,0.978174,0.447642,2.417792
IMGP5745.JPG,,,,0.837543,0.378715,2.465289
IMGP5746.JPG,,,,0.669140,0.394566,2.459754
IMGP5747.JPG,,,,0.548156,0.459316,2.436972
IMGP5748.JPG,,,,0.520709,0.569678,2.368641
IMGP5749.JPG,,,,0.509228,0.707827,2.273889
IMGP5750.JPG,,,,0.553594,0.848835,2.181426
IMGP5751.JPG,,,,0.579214,1.086281,2.055121
IMGP5752.JPG,,,,0.570840,1.276813,1.950952
IMGP5753.JPG,,,,0.551611,1.472468,1.843672
IMGP5754.JPG,,,,0.481655,1.684623,1.760347
IMGP5755.JPG,,,,0.364028,1.860900,1.766490
IMGP5756.JPG,,,,-0.387456,2.456042,2.246138
IMGP5757.JPG,,,,-0.341634,2.429961,2.193528
IMGP5758.JPG,,,,-0.263059,2.380322,2.104003
IMGP5759.JPG,,,,-0.237351,2.270925,2.127089
IMGP5760.JPG,,,,-0.222252,2.143031,2.142831
IMGP5761.JPG,,,,-0.170049,2.042849,2.005662
IMGP5762.JPG,,,,-0.062307,1.946760,1.816260
IMGP5763.JPG,,,,0.115223,1.795705,1.624828
IMGP5764.JPG,,,,0.243874,1.626553,1.538902
IMGP5765.JPG,,,,0.306385,1.495783,1.489856
IMGP5766.JPG,,,,0.351074,1.395143,1.478586
IMGP5767.JPG,,,,0.385628,1.299619,1.497578
IMGP5768.JPG,,,,0.384996,1.195579,1.582439
IMGP5769.JPG,,,,0.373282,1.092715,1.659393
IMGP5770.JPG,,,,0.341493,1.010040,1.713798
IMGP5771.JPG,,,,0.284238,0.947396,1.737264
IMGP5772.JPG,,,,0.196483,0.883365,1.736435
IMGP5773.JPG,,,,0.151801,0.812113,1.756203
IMGP5774.JPG,,,,0.114153,0.723716,1.812343
IMGP5775.JPG,,,,0.116223,0.589111,1.846634
IMGP5776.JPG,,,,0.114641,0.452858,1.849928
IMGP5777.JPG,,,,0.130344,0.348403,1.870032
IMGP5778.JPG,,,,0.260198,0.327421,1.960504
IMGP5779.JPG,,,,0.366291,0.415310,1.996053
IMGP5780.JPG,,,,0.396838,0.529188,1.990342
IMGP5781.JPG,,,,0.431325,0.667516,1.978098
IMGP5782.JPG,,,,0.484061,0.827257,1.947247
IMGP5783.JPG,,,,0.532686,0.949849,1.879156
IMGP5784.JPG,,,,0.582198,1.064548,1.794306
IMGP5785.JPG,,,,0.659419,1.245779,1.653733
IMGP5786.JPG,,,,0.722189,1.448173,1.547759
IMGP5787.JPG,,,,0.748866,1.643346,1.464108
IMGP5788.JPG,,,,0.307582,2.639347,2.574676
IMGP5789.JPG,,,,0.325698,2.650727,2.570541
IMGP5790.JPG,,,,0.356904,2.595142,2.577481
IMGP5791.JPG,,,,0.425856,2.480742,2.513880
IMGP5792.JPG,,,,0.592202,2.392304,2.300961
IMGP5793.JPG,,,,0.757023,2.151701,2.114690
IMGP5794.JPG,,,,0.870932,1.897241,1.972768
IMGP5795.JPG,,,,0.946020,1.675013,1.881527
IMGP5796.JPG,,,,1.031015,1.489264,1.831506
IMGP5797.JPG,,,,1.108182,1.321189,1.801319
IMGP5798.JPG,,,,1.138442,1.167401,1.750514
IMGP5799.JPG,,,,1.122579,1.026302,1.706439
IMGP5800.JPG,,,,1.078253,0.906271,1.712575
IMGP5801.JPG,,,,1.005604,0.818844,1.753345
IMGP5802.JPG,,,,0.926423,0.761106,1.812214
IMGP5803.JPG,,,,0.865180,0.716527,1.898396
IMGP5804.JPG,,,,0.812795,0.652315,1.956929
IMGP5805.JPG,,,,0.798363,0.575358,2.007025
IMGP5806.JPG,,,,0.818799,0.474766,2.064287
IMGP5807.JPG,,,,0.825419,0.367236,2.131927
IMGP5808.JPG,,,,0.795422,0.292871,2.215925
IMGP5809.JPG,,,,0.704569,0.264155,2.252411
IMGP5810.JPG,,,,0.632328,0.266425,2.219039
IMGP5811.JPG,,,,0.582059,0.333426,2.145080
IMGP5812.JPG,,,,0.579061,0.440675,2.099515
IMGP5813.JPG,,,,0.577174,0.578740,2.068150
IMGP5814.JPG,,,,0.552610,0.719262,2.017540
IMGP5815.JPG,,,,0.539831,0.866363,1.925085
IMGP5816.JPG,,,,0.542628,1.029694,1.796766
IMGP5817.JPG,,,,0.544207,1.185912,1.661758
IMGP5818.JPG,,,,0.563017,1.345770,1.537174
IMGP5819.JPG,,,,0.506205,1.453894,1.407365
IMGP5820.JPG,,,,0.379856,1.344271,1.412824
IMGP5821.JPG,,,,0.314525,1.214665,1.497762
IMGP5822.JPG,,,,0.236033,1.096857,1.642238
IMGP5823.JPG,,,,0.170163,0.924157,1.773148
IMGP5824.JPG,,,,0.118976,0.715310,1.864851
IMGP5825.JPG,,,,0.054706,0.544999,1.943522
IMGP5826.JPG,,,,-0.071039,0.446475,2.056884
IMGP5827.JPG,,,,-0.253076,0.617318,3.545214
IMGP5828.JPG,,,,-0.178285,0.638373,3.564567
IMGP5829.JPG,,,,-0.072462,0.689310,3.577228
IMGP5830.JPG,,,,0.105552,0.773076,3.580945
IMGP5831.JPG,,,,0.283602,0.894281,3.563217
IMGP5832.JPG,,,,0.422845,1.041325,3.524987
IMGP5833.JPG,,,,0.560147,1.237513,3.444315
IMGP5834.JPG,,,,0.664889,1.393678,3.365007
IMGP5835.JPG,,,,0.709752,1.576681,3.248052
IMGP5836.JPG,,,,0.689986,1.735816,3.145263
IMGP5837.JPG,,,,0.654415,1.866399,3.043038
IMGP5838.JPG,,,,0.584413,2.004124,2.894402
IMGP5839.JPG,,,,0.508128,2.119352,2.774909
IMGP5840.JPG,,,,0.398114,2.212084,2.676498
IMGP5841.JPG,,,,0.265077,2.274990,2.570370
IMGP5842.JPG,,,,0.151527,2.286302,2.450154
IMGP5843.JPG,,,,0.017713,2.281566,2.332855
