# Label	X est	Y est	Z est
Marker_point_1	-0.026869	-0.016446	1.534025
Marker_point_2	1.010423	0.039158	1.50013
Marker_point_3	1.016446	0.977288	0.928245
point 1	0.332542	0.172458	1.452794
point 10	0.70423	0.253511	1.297537
point 100	-0.431003	0.537696	1.12522
point 101	-0.416801	0.534484	1.140052
point 102	-0.410097	0.521277	1.151291
point 103	-0.363471	0.544043	1.151154
point 104	-0.390609	0.52905	1.137676
point 105	-0.470811	0.596174	1.112572
point 106	-0.463718	0.608493	1.102309
point 107	-0.474698	0.607042	1.086676
point 108	-0.407332	0.550598	1.116536
point 109	-0.447549	0.523752	1.108315
point 11	0.655997	0.271978	1.259448
point 110	-0.367601	0.539433	1.097946
point 111	-0.315552	0.565039	1.153785
point 112	-0.326143	0.570492	1.142882
point 113	-0.314175	0.578761	1.133705
point 114	-0.32956	0.587205	1.130446
point 115	-0.319778	0.596626	1.115773
point 116	-0.322357	0.606988	1.09845
point 117	-0.308508	0.611042	1.081972
point 118	-0.322875	0.59694	1.048651
point 119	-0.29786	0.604029	1.056949
point 12	0.638656	0.350346	1.273595
point 120	-0.286286	0.599048	1.049333
point 121	-0.269502	0.618175	1.084753
point 122	-0.206632	0.651178	1.088226
point 123	-0.200195	0.624714	1.112542
point 124	-0.199387	0.616598	1.128733
point 125	-0.317008	0.535108	1.164943
point 126	-0.335473	0.554353	1.149367
point 127	-0.262482	0.561887	1.182574
point 128	-0.280131	0.557531	1.184775
point 129	-0.251066	0.727117	0.907474
point 13	0.605941	0.345826	1.299302
point 130	-0.263538	0.74604	0.899609
point 131	-0.293434	0.784653	0.852366
point 132	-0.284233	0.797564	0.834729
point 133	-0.264155	0.799705	0.808429
point 134	-0.310849	0.837104	0.852703
point 135	-0.220068	0.87431	0.880505
point 136	-0.225721	0.864521	0.891071
point 137	-0.166971	0.831794	0.991917
point 138	-0.134135	0.789686	1.005453
point 139	-0.132688	0.90627	1.015166
point 14	0.590848	0.305605	1.321074
point 140	-0.117422	0.891075	0.980338
point 141	-0.150547	0.918373	1.017211
point 142	-0.165857	0.922561	1.017526
point 143	-0.163327	0.896027	0.83891
point 144	-0.196172	0.884797	0.809122
point 145	-0.266335	0.870661	0.810029
point 146	-0.159289	0.931248	1.00091
point 147	-0.144355	0.927224	1.002967
point 148	-0.195421	0.901254	0.993387
point 149	-0.201767	0.916145	0.98233
point 15	0.554941	0.313766	1.321015
point 150	-0.180368	0.91417	0.98178
point 151	-0.182155	0.929391	0.950737
point 152	-0.16238	0.936604	0.942401
point 153	-0.181475	0.931163	0.926118
point 154	-0.115473	0.940422	0.984177
point 155	-0.097013	0.938976	0.944489
point 156	-0.138627	0.871841	0.841913
point 157	-0.116686	0.864218	1.055572
point 158	-0.082224	0.864619	1.055843
point 159	-0.008053	0.83514	1.022893
point 16	0.720664	0.371266	1.221414
point 160	-0.061366	0.945033	1.025095
point 161	-0.051197	0.967253	1.038802
point 162	-0.065765	0.978642	1.036197
point 163	-0.052608	0.984881	1.02824
point 164	-0.064973	0.987495	1.026162
point 165	-0.064754	0.989267	1.014864
point 166	-0.054679	0.99144	1.011681
point 167	-0.049542	0.99171	1.01668
point 168	-0.028526	1.000719	1.041827
point 169	-0.002707	1.006308	1.014132
point 17	0.731431	0.377106	1.212189
point 170	-0.021145	0.994974	1.012034
point 171	-0.006231	0.978039	1.075862
point 172	0.003822	0.977477	1.085048
point 173	0.00889	0.978776	1.070227
point 174	0.002587	0.999119	1.059848
point 175	-0.000855	1.005533	1.052614
point 176	0.003391	1.016244	1.045444
point 177	0.014231	1.020784	1.036957
point 178	0.011319	1.019465	1.046969
point 179	0.025953	1.007405	1.050764
point 18	0.669565	0.344007	1.181687
point 180	0.038678	1.001985	1.060894
point 181	0.020601	0.994759	1.068441
point 182	0.028858	0.995551	1.068144
point 183	0.041623	0.993923	1.068017
point 184	0.073087	0.998962	1.051444
point 185	0.061819	0.999355	1.057145
point 186	0.073081	1.014559	1.034135
point 187	0.06369	1.014535	1.044662
point 188	0.041432	1.019491	1.043918
point 189	0.047602	1.023723	1.030511
point 19	0.697659	0.398464	1.201529
point 190	0.060937	1.025118	1.028919
point 191	-0.073477	0.670351	1.07597
point 192	-0.081161	0.65608	1.100519
point 193	0.195904	0.420997	1.247269
point 194	0.126658	0.443685	1.235491
point 195	0.256376	0.512904	1.068643
point 196	0.257748	0.517642	1.10992
point 197	-0.058639	0.57866	1.154521
point 198	-0.057002	0.597126	1.142421
point 199	-0.035416	0.606809	1.123837
point 2	0.348036	0.186706	1.459761
point 20	0.720135	0.396842	1.193159
point 200	-0.042271	0.52172	1.167267
point 201	-0.041373	0.529646	1.154163
point 202	-0.031478	0.537294	1.140961
point 203	-0.037998	0.595486	1.141155
point 204	0.026769	0.576384	1.186498
point 205	0.039133	0.581904	1.194968
point 206	-0.05087	0.466223	1.176838
point 207	-0.06448	0.488289	1.165112
point 208	0.056176	0.591276	1.187859
point 209	0.057263	0.609214	1.18648
point 21	0.69797	0.369724	1.130356
point 210	0.115196	0.585548	1.188849
point 211	0.101725	0.604421	1.1746
point 212	0.091793	0.626718	1.16547
point 213	0.101007	0.631232	1.149038
point 214	0.101038	0.648691	1.127968
point 215	0.07084	0.671588	1.145952
point 216	0.040962	0.635078	1.187576
point 217	0.063883	0.641348	1.177488
point 218	0.04215	0.651513	1.172155
point 219	0.069012	0.651076	1.159489
point 22	0.633691	0.394913	1.103062
point 220	0.062071	0.664133	1.159132
