# Label	X est	Y est	Z est
Marker_point_1	0.994362	0.003889	1.521693
Marker_point_2	1.010793	1.002165	1.216358
Marker_point_3	-0.004276	0.993376	1.218376
point 1	0.918685	0.358501	1.460533
point 10	0.872029	0.224982	1.496656
point 100	0.4919	0.977289	1.415964
point 101	0.52309	0.967001	1.41506
point 102	0.516904	0.953811	1.423087
point 103	0.501215	0.964128	1.422213
point 104	0.500551	0.950636	1.43149
point 105	0.442513	0.911479	1.436201
point 106	0.418416	0.909122	1.450439
point 107	0.43043	0.89592	1.459383
point 108	0.468175	0.905264	1.450199
point 109	0.43755	0.898818	1.452001
point 11	0.909093	0.148978	1.480703
point 110	0.449522	0.905926	1.445364
point 111	0.187973	0.982472	1.304088
point 112	0.205625	0.972195	1.3372
point 113	0.165561	0.944884	1.332172
point 114	0.126192	0.957346	1.294572
point 115	0.233385	0.927306	1.376568
point 116	0.212111	0.934059	1.373434
point 117	0.203383	0.919058	1.370849
point 118	0.179546	0.89963	1.362987
point 119	0.256133	0.946633	1.37136
point 12	0.894773	0.127105	1.481292
point 120	0.259964	0.950064	1.365247
point 121	0.240608	0.961252	1.361832
point 122	0.221683	0.954733	1.369625
point 123	0.225658	0.963078	1.360233
point 124	0.198938	0.962451	1.35087
point 125	0.21969	0.973686	1.332573
point 126	0.280918	0.970341	1.344298
point 127	0.262223	0.982391	1.329234
point 128	0.252438	1.006009	1.310103
point 129	-0.051209	0.866229	1.238534
point 13	0.881421	0.14611	1.476899
point 130	-0.04111	0.85751	1.236839
point 131	-0.026519	0.8566	1.22802
point 132	-0.096025	0.854211	1.169872
point 133	-0.130508	0.833679	1.174945
point 134	0.087854	0.949391	1.279071
point 135	0.111723	0.895497	1.280439
point 136	0.111419	0.87261	1.283451
point 137	0.125301	0.879041	1.274491
point 138	0.038539	0.859441	1.284784
point 139	0.033341	0.828351	1.299604
point 14	0.678278	0.41023	1.479487
point 140	0.048013	0.831973	1.29346
point 141	0.068196	0.835898	1.286988
point 142	0.066893	0.851821	1.289164
point 143	0.110575	0.824084	1.330599
point 144	0.137109	0.8324	1.332904
point 145	0.11205	0.835774	1.312286
point 146	0.11132	0.84688	1.297446
point 147	0.095194	0.792571	1.326916
point 148	0.121001	0.81681	1.335709
point 149	0.097289	0.826801	1.319096
point 15	0.808315	0.545212	1.44139
point 150	-0.025391	0.739603	1.311477
point 151	0.00208	0.76728	1.321813
point 152	0.018121	0.773351	1.30437
point 153	0.008024	0.775992	1.307343
point 154	0.029657	0.761987	1.302434
point 155	0.038564	0.750576	1.326513
point 156	0.044793	0.735857	1.340556
point 157	0.049164	0.763617	1.316959
point 158	0.098912	0.620991	1.365606
point 159	0.038556	0.631251	1.345107
point 16	0.806224	0.568755	1.431122
point 160	0.037348	0.65004	1.337033
point 161	0.026118	0.632293	1.345319
point 162	0.002106	0.666263	1.322168
point 163	0.016029	0.668751	1.320097
point 164	0.023324	0.674241	1.315622
point 165	0.054569	0.696174	1.357866
point 166	0.104005	0.66885	1.366312
point 167	0.079958	0.67858	1.362516
point 168	0.112014	0.78493	1.339696
point 169	0.095056	0.775266	1.349394
point 17	0.72744	0.54595	1.497558
point 170	0.10485	0.762751	1.350946
point 171	0.083467	0.741319	1.347297
point 172	0.079682	0.715336	1.369476
point 173	0.108875	0.728504	1.384517
point 174	0.125931	0.751079	1.380381
point 175	0.133894	0.77996	1.365206
point 176	0.135022	0.799226	1.331931
point 177	0.160136	0.756152	1.393097
point 178	0.17215	0.761502	1.38573
point 179	0.184005	0.750348	1.385159
point 18	0.68478	0.490288	1.459835
point 180	0.165371	0.772884	1.372309
point 181	0.153748	0.762762	1.386402
point 182	0.214371	0.802891	1.377091
point 183	0.214575	0.675681	1.469046
point 184	0.27166	0.792709	1.418393
point 185	0.253443	0.782878	1.418281
point 186	0.278151	0.772807	1.438235
point 187	0.253663	0.769636	1.441149
point 188	0.24675	0.753045	1.464078
point 189	0.248277	0.735566	1.471265
point 19	0.695431	0.498342	1.454758
point 190	0.270973	0.756724	1.465013
point 191	0.251039	0.698921	1.494855
point 192	0.276158	0.702922	1.498837
point 193	0.267884	0.687043	1.510785
point 194	0.244348	0.639299	1.525505
point 195	0.19693	0.628948	1.510916
point 196	0.214403	0.619564	1.530467
point 197	0.217672	0.607451	1.545208
point 198	0.182421	0.564583	1.53737
point 199	0.201211	0.540937	1.550386
